COL_A;COL_B;COL_C;COL_D;COL_E;COL_F
1;1,01;25/04/1969;Josemar Silva;123456789012345;3,14159
2;2,02;25/10/2004;Josemar Silva;123456789012345;6,28319
3;3,03;21/07/1938;Maria do Carmo;123456789012345;9,42478
4;4,04;15/10/1972;Maria Stela;123456789012345;12,56637
5;5,05;22/01/1993;Guilherme;123456789012345;15,70796
6;6,06;15/08/2001;Gabriele;123456789012345;18,84956
7;7,07;25/04/1969;Antonio;123456789012345;21,99115
8;8,08;25/10/2004;Pedro;123456789012345;25,13274
9;9,09;21/07/1938;Paulo;123456789012345;28,27433
10;10,1;15/10/1972;José;123456789012345;31,41593
11;11,1;27/10/1985;Alex Barbosa;123456789012345;33,333333
